Gene	x	y	cluster
PRMT2	13.671893	9.064081	15
VANGL2	-14.674176	4.4878206	3
PLA2G12A	12.673398	-10.698917	1
PRKRA	15.370965	-8.660486	5
PRKD1	22.059456	9.8194	12
PRKCQ-AS1	-0.7568595	13.433565	11
PRKCH	1.4280994	8.018167	23
PCMT1	23.745817	-2.099799	15
PRKCE	24.818527	6.9985585	12
PRKCA	21.628265	9.06411	12
PRKAR2B	26.541447	3.8230243	12
PRKACB	23.44133	6.5903935	12
PRKACA	4.0315113	-6.9781923	1
PRKAB2	-0.7329107	-13.211608	3
PRKAB1	-15.323858	-6.960038	6
RUNDC3B	24.047476	3.7111416	12
PIP5K1A	15.962317	-0.680882	16
PRELID1	-4.356041	-1.3304032	17
NBPF25P	-12.840237	5.196288	0
PRDM6	0.9157743	-15.465934	1
RFXAP	9.114807	-11.166631	1
PRDM2	22.634096	2.794771	12
PRDM15	-10.960302	-12.40993	4
BRAT1	-9.728742	-9.526761	9
CAV2	-4.4062653	6.56716	9
TEX26	-7.655328	9.393283	3
EDIL3	22.435877	8.698782	12
PPRC1	-13.564325	-7.505834	7
PPP4R3A	13.632333	-7.886387	18
PPP3CB	22.933695	1.5123622	12
CKAP5	18.434391	-2.9862835	5
PPP2R5C	18.937222	2.8296247	12
PPP2R5A	4.1161623	10.678218	11
PPP2R3A	15.654602	7.773846	11
PPP2R2B	24.133013	8.85066	24
PPP2R1B	-0.9829773	5.5665145	23
DDRGK1	8.522653	-1.2727898	25
PPP1R3D	-22.295383	2.1159706	22
PPP1R37	-12.534943	2.9282472	14
TMEM131	21.40044	2.7098567	12
ZNF239	-17.612125	-5.444801	7
PPP1R35	-9.98002	-6.824745	7
ST6GAL2	23.081894	12.0552635	12
PPP1R16B	16.965715	4.6535416	16
PPP1R13B	19.156857	2.149142	5
PPP1CA	-8.886284	-6.0403743	7
PPM1N	-17.469664	-3.021747	0
PPM1M	-16.097937	1.8844347	0
PPM1J	-8.071665	5.615037	8
BLVRB	-6.6272464	-3.474104	7
PPM1E	25.14711	6.0941854	12
ATG10	19.005983	0.0626385	5
RWDD2A	-10.583009	-4.9149003	7
NEO1	20.427694	7.2410197	12
PPIL6	8.152421	3.9700124	2
PPIL2	9.693596	-6.245927	1
PPIC	-13.678044	5.747291	7
PPIB	-3.1342494	-3.473098	20
PPFIBP1	21.12251	8.14481	12
NDUFB7	-2.530207	-3.235348	20
PPARD	7.5265474	2.0219939	16
PPA2	21.852499	2.5268743	12
POU3F2	-7.7572484	4.1014967	20
POU2F2	12.134107	-0.8485821	5
POT1-AS1	20.077362	6.4211435	12
POP1	2.8309639	-10.896533	1
BIRC2	6.70555	-12.416731	25
POMT2	-11.997597	-11.076834	7
KLC3	-17.991064	1.1659437	0
ZNF800	13.891973	-7.872848	18
POMP	-0.70774686	-3.9347205	20
PAK6	-10.48127	3.5941627	9
POMGNT1	-7.704648	-9.617519	9
POLRMT	-13.72568	-4.597108	6
POLR3GL	-8.324621	-2.462747	7
POLR3C	-13.87059	-10.77144	4
POLR2I	-2.7836845	-3.2997084	20
PIF1	-20.932804	7.0984235	8
POLR2G	-5.9524975	-2.8132243	7
POLR2C	-7.8656707	-6.0727034	7
MRPL39	-17.883774	-10.1657295	4
POLR2B	10.722745	-11.82061	20
CCDC47	10.0161	-12.680051	20
ADAMTS16	10.675405	1.1288847	16
EPHB6	13.46287	3.8190386	16
KCTD4	-16.43196	5.838216	17
POLR1E	-12.215325	-2.243605	7
FADD	-13.316108	-0.9098523	6
HIF3A	-8.183985	13.508768	3
FAM193B	12.956915	-3.6183274	5
VIPR2	-6.389339	11.81548	26
POLG	-11.300616	-9.729538	9
UGT8	4.2082176	12.3241825	11
POLE	-13.240539	4.4255276	0
POLD3	11.05624	-7.259754	18
POLD1	-18.199715	0.87382305	0
POLA2	-19.148884	5.1626387	13
POFUT1	-13.977877	-10.395091	7
PODXL2	3.244935	-2.5656931	15
PODNL1	-16.0965	2.1022804	0
PNPO	-8.981411	1.9564232	6
PNP	-13.277155	5.021357	7
TOX3	17.82673	11.615808	11
KDM8	-18.08424	-2.7822862	0
PNMA6A	-7.9787	-0.49077508	6
ISG20L2	-12.485821	-9.733813	4
PNMA1	1.2954369	-5.0710616	15
PNKP	-10.3544655	-7.7429895	7
PNCK	8.942927	-2.3720531	19
PMM2	9.084244	-8.739515	1
SYNE4	-10.505474	6.2340417	3
PMF1	-6.7089486	-2.266922	7
UBA1	3.021283	-7.770502	1
PMEL	-16.736746	-1.9580839	0
RANBP10	13.272344	-3.6715457	5
NDUFS5	-0.78358597	-2.7232983	20
PLXDC2	22.410402	9.045142	12
CHMP1B	-11.650334	2.9982138	14
TMEM191B	-15.067307	-0.026068747	6
PAK4	-13.227967	4.061502	4
PLS1	1.814975	3.3263986	27
PLPPR3	-4.9433055	6.7096224	8
PLPP1	20.212482	4.8341455	12
AP5Z1	-10.385278	-9.992569	4
YTHDF1	-16.970755	-12.572432	22
PLP2	-14.787124	1.4269123	7
PLK5	-23.98436	4.4816375	19
PLK4	-18.375841	4.712215	13
PLIN3	-10.768244	9.797163	11
PLIN1	-18.24608	3.197328	13
CSTF2T	-11.934068	-0.6890474	6
PLEKHO2	-12.077208	7.6930127	3
PLEKHO1	-3.4100027	7.9906397	3
PLEKHJ1	-5.852005	-4.979786	7
PLEKHH3	-7.439026	4.9943633	6
PLEKHH2	-3.8275561	13.857396	3
PLEKHH1	4.204265	12.34988	11
TPMT	-16.766033	-14.494556	17
ZCCHC8	7.3909383	-8.965007	1
PLEKHG4B	-5.6031213	6.688479	8
PLEKHG4	-16.345263	-0.41847762	0
PLEKHA4	-12.7643175	6.362535	3
DGCR2	11.511701	-4.57216	1
AVPI1	-11.325992	-1.0463866	7
PLCD3	-18.886925	3.6170058	6
ARHGAP39	11.311322	-1.8248922	16
PLCB3	-15.995052	0.49245992	0
PLCB1	25.43602	8.4085	12
PEX11A	-12.079083	-2.4806676	7
PLB1	-5.502979	4.746403	13
PLAT	-8.998777	10.388907	3
PLAG1	5.676779	-13.4206915	4
PLAC8L1	-10.775259	-12.934949	9
KMT5B	18.76051	-1.2647004	5
AKNA	-8.080244	8.224768	3
ALKBH1	6.2075586	-10.383394	1
KIFAP3	23.270039	3.4758563	12
POLR1A	8.535287	-9.137416	18
STPG1	-5.8005977	-14.563233	2
PKN1	-5.898399	2.594846	8
GRIA2	25.10795	8.167283	12
PKDCC	-6.7964826	-11.854447	9
PJA1	-8.30238	-0.79485583	6
PTDSS1	11.74087	-6.0574584	5
PITPNM1	-7.058966	4.9372807	8
ORC2	17.075783	-3.023604	5
PITPNC1	18.356041	11.260919	19
TJP1	22.317041	7.7915277	12
PIP4K2A	19.432453	8.279195	11
INTS6	20.605051	-0.23567083	12
PINK1-AS	-20.317778	1.4541953	14
PCDH10	21.385248	12.848306	26
PIK3R4	8.906168	-11.212069	18
PIK3IP1	-11.08617	4.954132	8
STK35	-1.1621032	-15.025923	22
PIK3CB	20.559958	2.1290846	12
GABRQ	-4.938906	9.357826	8
PIK3C2B	2.9549725	11.24704	11
PIK3C2A	19.488377	4.630902	21
WDCP	-12.337459	-2.893235	7
PIK3AP1	-16.054514	9.733055	23
PIH1D1	-8.421352	-5.248406	7
POU4F2	-20.105469	1.989856	0
DHRS7B	12.45612	-4.055305	5
ZNF821	11.1307745	-4.8545246	5
PIGV	-13.919295	-2.808489	7
PIGU	12.250476	-4.9175777	5
PIGT	-10.143329	-4.4469457	7
PIGS	-15.432352	-5.563282	6
PIGO	-15.634725	-2.3501143	7
PIGM	-12.907317	1.7972646	14
PIGA	-15.951575	-1.5831587	0
PIEZO2	4.2744856	12.14163	11
PICALM	21.07591	6.9923754	12
PPM1D	7.028465	-10.090102	1
PIANP	3.9827049	-5.0565495	1
AIM2	-5.9607453	12.864229	7
PHLDA1	-8.93458	10.985561	3
SGK2	-10.769639	9.698647	11
PHKG2	-8.963624	-10.192286	9
PARVG	-15.90409	9.047763	23
PHGDH	-10.980591	12.615797	13
PHF3	21.71494	1.4039322	12
HERC6	-0.32157084	-13.184229	3
PHF14	23.504667	5.6720705	12
METTL16	9.022571	-7.054725	1
PHEX	-21.653162	1.291081	0
PHC3	21.137274	2.1518636	12
PHC2	19.197834	3.1524084	12
PHAX	-4.6495085	-6.9967747	7
PHACTR3	20.87252	7.780951	12
PGBD4	-12.267241	-1.9457643	7
PGAP2	6.7090235	-7.0291047	1
PGAP1	23.89266	2.075579	12
ARGLU1	24.99048	2.8494158	21
PGAM1	-1.8310314	-2.0857277	14
PFKFB4	-7.9909406	6.2728596	8
PFDN5	-0.46020746	-1.0442241	20
PFDN1	0.10665101	-5.838592	20
PFAS	-16.774395	-4.1629863	7
PEX6	4.5878763	-9.619146	1
COPS6	-0.97986513	-5.670179	20
PEX5	9.577594	-10.199147	18
PEX3	17.53446	-3.567274	5
PDCL	-23.050064	1.5367322	22
PEX26	6.136775	-8.162469	1
PEX2	-18.819668	-11.270428	7
PEX11G	-17.649782	-2.0264335	0
PEX11B	-8.209814	-6.3555174	7
PET117	-12.941737	2.5920901	14
PET100	-9.955194	1.294241	17
PES1	-10.730502	-3.7823548	7
PER1	-2.6164098	3.6916192	10
HEATR4	6.5193653	-8.267368	1
PEMT	-13.921202	-9.9474945	4
PELI3	-8.289262	-0.14877068	6
ATP6V0A1	23.180428	1.0613419	12
PEF1	-7.359246	-4.545263	7
ENO4	2.0984516	4.301232	27
PPP1R14C	11.978551	5.109304	16
INA	2.2453835	-2.9701672	15
PDZRN3	24.350079	11.311724	12
SRR	-16.924416	-5.3152647	7
RAB1A	18.042362	-1.6458489	11
ZNF621	-18.912733	-12.054684	4
PDXK	14.926366	-1.0824257	16
PDS5B	22.807436	5.142322	12
PDS5A	21.235243	2.8915598	12
PDPN	-9.272429	10.82618	11
PDPK1	4.2786727	-6.548767	1
PDP1	13.304681	3.1129131	16
PTPN14	10.43413	3.0650864	16
PDLIM2	-10.550088	7.450559	3
PDK4	-11.959444	12.98031	10
PDK3	15.655242	1.0885669	5
PDIA4	-12.664949	6.251464	10
PDGFRB	-14.095958	11.576464	3
DIRAS2	13.59416	4.1870046	16
PDE4DIP	18.73729	2.030707	5
TIPRL	13.890186	-10.992513	18
PDE4C	-5.763992	3.2420468	9
CD47	25.077179	2.7608135	12
SETDB1	6.2822576	-9.52857	1
TMX3	20.547928	-4.051729	15
PDCD6	21.412264	-7.435292	15
PDAP1	-4.6233883	-3.7905154	20
PCYT1A	7.1405697	-5.9090843	14
MYO1B	12.037937	7.6960435	27
NUDT22	-9.011109	-3.3522162	7
PCSK1N	2.2583237	-2.42336	15
DZIP1	20.79869	0.8083971	12
EHD1	-10.143293	2.6411424	6
ZNF254	18.584888	-1.539118	5
PCNX2	24.495573	6.0432935	12
PCNX1	22.857595	4.0690904	12
PRKG1	25.543587	10.216535	12
HSPA5	0.045954585	-4.3264465	15
RPL22	-1.1324931	-0.7472231	20
RAP2C	-22.56645	2.00368	22
XRRA1	23.160227	-0.96669275	12
PCDHB4	-6.84178	-6.1006646	7
PCDHB15	-14.166752	-0.8986336	6
PCDHB14	-12.963968	-7.416716	6
PCDHB13	-18.830376	-4.6606507	0
SERP1	17.350128	-8.6587925	5
PCDHB12	-18.82084	-4.7535944	6
MTR	21.614155	1.8016839	12
PRR14L	15.1894455	-1.8190572	5
PCDHA7	-19.073076	0.96742433	0
KLF8	-9.688628	-14.99436	9
PCDHA3	-14.70954	1.1465816	0
PCDHA11	-18.80747	-0.49565703	0
SPATA33	-8.797885	-7.6025314	7
PCDH8	-3.5188684	8.8964205	16
PCDH11X	24.752548	10.579804	12
NCKAP1	23.391054	3.7566488	12
OTUD7A	22.734785	7.286963	12
PTPN13	16.444418	5.68678	16
PCBP4	-0.72826624	3.9119887	9
PCBP3	15.657318	11.720722	19
PC	6.283635	-6.621483	1
PBRM1	20.048714	1.3168888	12
BCL2L2	-3.735721	-9.033167	6
PBDC1	-9.367177	-2.9519978	7
ZNF222	-13.443565	-2.6799462	7
PAXIP1	7.186256	-10.407055	1
PAXBP1-AS1	-18.526178	-9.0109625	4
PAX6	-10.775833	13.034623	13
DNER	18.921715	11.338799	19
PAX5	-5.794033	9.7725	8
STAT2	3.8211255	9.738717	11
PARVB	5.1288104	-6.9390836	8
PARVA	14.320673	7.5962768	16
PARS2	-14.274835	-1.8894475	7
PARPBP	-21.470573	7.3198867	13
PARP6	4.676045	-10.349014	1
PARP4	-10.153825	11.165248	3
PARP2	-8.39408	-6.634115	7
PARP14	-10.628308	11.492981	3
SRRM4	26.39049	6.4393196	12
PARP12	-8.869865	8.7701845	3
SERTAD3	-12.62082	0.12291888	6
PARN	16.834908	-2.776086	5
PARL	7.62267	-9.647756	1
PARD6B	-15.163988	-10.114631	4
PARD3	17.013124	11.394146	19
PAQR8	-12.28099	6.2602057	14
PAQR6	-10.816552	10.144678	11
PAQR3	16.319675	-7.44218	18
PAPSS1	21.441801	0.43265137	12
C16orf95	8.434808	-7.381109	1
PAOX	-13.038726	2.7788632	14
COQ3	-8.700033	-5.3289056	7
PANK4	-16.030428	-3.4278696	6
HCN2	-0.18310855	3.3721013	11
PDE5A	26.512041	-0.601887	27
PAN3	21.82673	4.5418687	12
MEX3D	-18.601212	1.8313744	6
PAN2	-13.884192	-6.7679152	9
PAM	27.433296	8.267196	12
PALMD	9.74044	5.4250064	2
MAMDC4	-21.957335	2.0183809	22
PALLD	14.616011	12.163851	19
PAK5	25.745592	5.3846693	12
BAP1	-24.020834	4.4588466	19
PAK3	25.30331	6.918365	12
VAT1	-7.897466	1.7610993	6
PAIP1	5.391102	-13.240024	20
POLR3D	-19.608877	-1.0151285	0
CAPZA1	20.499092	-5.824133	15
ALG6	5.439689	-11.865405	1
ZSWIM1	-15.374418	-0.20134628	0
SERPING1	-12.338431	9.825906	3
PAG1	15.110971	10.778694	19
PAFAH1B3	-2.3143158	-0.9535349	20
PAFAH1B2	3.2322657	-6.193746	1
SUV39H1	-15.596941	-1.0758175	0
PACRG	24.271986	4.4480367	12
C11orf87	13.049632	2.8469694	16
PABPC4	-12.898905	1.5715505	6
PNPT1	16.025898	-8.52197	5
PABPC3	-19.667334	1.0100055	14
PABPC1L2A	-13.789816	-0.6479354	6
P4HB	-5.7724066	-7.4104853	7
PTPN5	12.212169	2.5841281	11
SLC35E3	14.982861	-2.1605403	5
P4HA2	-24.048458	0.0017060468	22
P2RX4	-11.613028	-13.927397	4
SLC7A1	5.999473	3.4078565	16
OXLD1	-10.778484	-5.2203097	7
OVOL1	-16.51899	-0.56253463	0
OVGP1	-13.389959	-6.993732	0
OTUD5	3.946866	-8.428636	1
NSUN7	-7.036266	11.195289	3
ZNF761	-13.534871	2.7463977	14
OSCP1	-13.508891	-10.278949	4
VPS35	17.665758	-9.402595	15
OSBPL9	19.353067	5.8616576	26
OSBPL8	24.035055	4.742896	12
SPCS2	0.072192155	-3.560698	15
OSBPL11	-12.412219	-16.588072	4
OSBPL10	15.942102	5.1470323	12
ORMDL3	-22.77162	1.3793555	22
ORC4	21.210335	-0.97498274	12
PSMG1	-8.533801	-3.5979297	7
ORC3	19.991714	-4.481246	5
CNTNAP3	10.022063	11.242357	26
ORAI2	-1.9776303	-8.446575	1
B3GNT7	-9.895182	10.63531	3
MINPP1	5.8697524	-12.122327	1
TM2D3	1.7965963	-3.5807238	15
LACC1	-12.643864	4.3211465	14
DMTF1	20.71226	0.54143256	12
VWCE	-10.89259	-9.478635	9
ARAP3	-11.687573	4.650118	4
SYT11	23.839134	-3.0704513	15
IGFBP4	-7.0434637	9.965543	3
ANO5	20.619263	4.901488	12
PCYOX1L	-15.93004	-7.3210335	6
CDKAL1	21.961718	4.9191694	12
CDK15	-21.508837	4.219757	0
DNAJA1	0.32105142	-3.4052947	20
PROS1	8.736657	5.131872	2
TMEM185A	-15.710387	-10.182905	4
FARS2	22.679625	4.9909453	12
PICK1	-7.9522004	-9.978116	9
KMT2D	5.5900736	-8.516274	1
DCHS1	-14.3071375	4.3918757	6
VMP1	19.974922	1.9434129	12
ZNF350	-20.014566	-4.036184	7
CDR2L	-8.131534	5.651101	3
MAPKAP1	19.520193	0.3647071	12
AKIRIN2	-3.0761445	-10.010432	17
TTYH1	-10.643577	12.9946375	13
LRP2	4.146208	12.0643215	11
C5orf22	-14.781533	-13.537388	4
BRD7	5.6207104	-11.929891	1
POLI	5.838622	-12.408321	1
MTERF4	11.918946	-11.707079	1
DVL3	-10.296698	-9.692335	9
SRPRB	-9.463518	-5.7964935	7
SLC5A6	-15.581167	-3.8447723	0
SSC4D	-21.161093	-1.9356565	7
LOH12CR2	-18.214083	-2.6598592	0
LMBR1L	-11.19891	-11.178541	4
BUD13	-17.518068	-6.650993	6
PARD6A	-7.4285746	-0.71035856	17
MIEN1	-5.898134	-3.583146	7
LZTS3	11.90034	0.69966626	16
UIMC1	17.858011	-2.526158	5
WDR73	-13.938227	-13.262935	4
OPA1	21.081589	0.31178308	12
OLMALINC	2.7278762	11.90875	11
OLFM2	-1.515862	14.13632	3
PAPLN	-8.522208	12.999049	3
MOAP1	1.5199236	-4.645194	15
OIP5-AS1	4.590972	1.1216029	14
OSBPL6	24.966469	6.2144713	12
OGG1	-9.002875	-7.7316117	7
OGFRL1	4.225187	6.027022	8
OGFR	8.988709	-14.632609	25
PBX2	-12.921201	-6.624466	6
GMCL1	17.302565	-1.8048579	16
PINK1	1.1231	-5.249052	20
OGDHL	-2.4901311	-9.861168	8
GTPBP6	-12.174585	2.4693234	14
OCRL	9.652848	-9.418577	1
OCIAD1	24.274462	-1.5010844	15
PTPN11	14.642137	1.7163869	18
RNF175	17.240005	0.03768928	5
OAZ3	-18.297161	3.12923	13
OAZ2	-1.7211999	-7.9695563	9
LINC01607	-19.55415	-2.3781214	0
C7orf25	-14.035387	-2.6024969	7
AAAS	-11.601074	-4.7031994	7
NYAP1	-13.1935215	-7.1548033	6
NXPH4	-6.811213	7.9416685	8
TLE6	-15.400209	4.0585785	3
GAS2	22.600687	1.0678146	12
NWD2	15.171741	3.7831647	16
GABARAPL2	0.5118315	-3.0288384	15
NWD1	-7.049055	14.21129	3
NUSAP1	-20.561333	7.6163297	13
NUP98	15.109436	-3.271506	5
CLCN3	22.795864	-0.7141205	12
NUP37	-18.124937	-10.851668	4
NUP35	-18.687588	-9.788947	4
LMTK3	13.605589	-1.3089528	5
NUP210	5.3482533	-8.818249	1
NUP205	7.9079523	-10.79904	1
NUP160	12.775747	-5.056762	19
NUP107	7.11698	-10.1602745	1
ANP32A	1.6415436	1.0582286	16
SNCG	1.3608655	-3.3027642	15
NUDT17	-14.121102	-1.9748733	7
AAGAB	13.305811	-7.913562	5
NUDT16L1	-10.823434	-7.037852	6
NUDT13	-21.13758	-2.3053675	0
NUDT11	-8.9054785	0.550305	6
NUDT1	-5.701323	-2.2193315	13
NUDCD2	-4.6467032	-5.1023645	20
NUCB1	-2.9314418	-8.353213	20
NUAK2	-17.646269	3.4253016	6
NTS	-4.4359894	9.561456	8
NTRK3	25.232437	8.048323	12
NTNG1	23.194992	11.965749	26
NTN5	-17.29299	-0.79358983	0
NTN4	2.6137998	7.463091	8
NTN1	-6.2988415	12.308819	3
NTMT1	-9.310617	-3.685928	7
NTF3	-5.7229357	7.017124	8
EID1	0.4756067	-2.7402086	20
LINC00869	4.6625156	5.728587	18
PPIA	-0.096738555	-2.428713	15
NT5M	-11.3197565	4.4434133	4
RORB	22.913845	12.060963	26
NT5DC2	-15.308014	6.064319	3
NT5C3B	-7.03608	-6.9437103	6
NT5C3A	16.356348	-7.928247	5
NSUN3	11.084404	-12.47139	1
CDC14A	-8.147002	13.351678	3
FAM228A	-11.993044	3.7742856	14
CD63	-2.6119907	-2.4808931	3
MLYCD	-12.240258	5.067345	4
NSDHL	-10.254892	-2.539782	7
GEM	-12.210764	12.673956	10
TOMM20	23.772184	-3.3761408	15
NSD1	21.06992	2.8178294	12
PPP1R3F	-12.308296	-8.090733	4
NRXN1	24.983496	9.082606	24
NRSN1	25.088375	1.871782	10
NRP1	16.962181	10.784118	12
NRIP2	-8.007984	6.909071	8
NRIP1	17.903898	4.473741	2
NBN	12.627292	2.518867	9
ZC3HC1	-13.891406	-12.365222	4
NRG4	7.5011935	2.2231643	5
LINC01123	-20.103115	1.0356802	14
PDCD7	11.173884	-5.580203	15
NRG2	20.203266	4.2553253	12
NRG1	26.642183	9.014262	12
NRDE2	5.5509167	-10.842924	1
AOC2	-17.126486	0.23351638	0
NRAV	-15.683498	-4.19964	7
NR6A1	20.461834	3.678848	12
PIGL	15.70728	-2.586232	5
NR4A3	-2.5068054	4.0272517	10
NR4A2	-1.6667624	10.949401	24
NR2F2	-2.8015013	10.181652	8
NR2C2AP	-10.600379	-3.201777	7
NR1I3	-21.030977	2.8193052	0
NR1H3	-13.510469	-11.84299	4
NQO2	16.225096	-0.4838258	15
PAPPA	-6.6159496	5.8991055	8
NBPF12	6.8629103	-2.320495	1
NQO1	-11.13952	8.166222	7
GSPT1	17.36164	-4.023349	5
NPTXR	14.670367	3.8650308	16
POLR3K	-7.602582	-3.530997	7
NPR3	-4.615453	10.564441	3
NPR1	-17.933523	2.5782654	0
NPPC	-2.833894	9.344321	19
EHBP1	24.011662	6.2717752	12
NPLOC4	14.728746	-3.0754917	5
CNTNAP1	7.838058	-3.8518138	25
PTBP2	21.09432	6.947013	12
NPIPB4	-12.959404	-11.412181	4
DIAPH3	-9.542776	15.221192	13
NPIPA1	9.070407	-3.8968012	25
NPHP4	12.787851	-0.20218778	16
NPEPPS	21.212948	1.7257967	12
PWP2	-19.63969	0.9239749	14
NPEPL1	-6.8360186	-11.526597	9
PLEKHA1	16.67167	4.4705396	12
NOTUM	-18.51451	0.48684388	0
GALNT8	2.5765128	7.399674	8
ZNF678	6.053317	-11.128879	1
NOTCH3	-14.474603	11.02566	3
NOTCH1	-10.239374	10.742977	3
NOSIP	-8.567891	-4.4992146	7
NPTX1	11.278689	0.607952	16
PDIA2	-6.6876407	-10.723934	25
NOP14	-16.977854	-5.9130936	4
NONO	-1.768522	-8.089551	13
NOL6	-10.5907755	-8.36373	9
NOL4L	12.783945	-1.3269535	16
FKBP10	-12.594503	8.62477	3
AGAP2	8.912981	-1.4253302	16
NOA1	-15.497568	-3.9810536	6
NMU	-3.965017	10.618104	8
NMNAT2	25.0785	6.1759872	12
CARHSP1	-3.223638	-0.7489356	13
NMNAT1	-13.089093	-12.171935	4
EGLN1	16.731068	-5.511371	5
NME7	23.019184	2.6336553	12
PRKAR1B	17.030518	0.7836556	15
NMD3	21.8969	2.0656817	12
OTULIN	-16.103806	-12.0273695	4
NMB	-9.762442	1.7218747	8
NLRX1	-15.308656	-6.0788507	0
NPDC1	4.140235	0.98264617	14
PGF	-13.267124	8.514024	3
NDUFAF1	-10.785137	-5.107276	7
CMSS1	22.826826	5.1298885	12
NLRC3	-23.645008	4.297031	19
PCDHGB7	-14.675309	1.4563806	0
NLK	21.569605	7.578827	12
THOC5	-23.457485	1.704801	22
PLEKHN1	-17.32852	1.0762864	0
NLGN1	24.930748	9.200109	24
NKX6-3	-22.029846	2.2638752	22
NKX6-2	3.1774998	13.014859	11
LGI4	9.872809	-0.21445003	16
BCL2L1	8.633249	-7.875342	2
NKIRAS2	-13.378389	-4.9583864	7
C3orf18	-8.466071	3.6365366	8
NIPA1	12.066448	-5.8604517	1
NKAP	-9.059246	-4.721482	7
PRMT1	-3.792378	-3.2610111	7
